Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Target,Is_Mature_Student,First_Generation_Student,Financial_Risk_Flag,Pass_Rate_1st_Sem,Pass_Rate_2nd_Sem,Evaluation_Load_Ratio_1st_Sem,Evaluation_Load_Ratio_2nd_Sem
Single,General Contingent,2.4908958903736655,Social & Humanities,Daytime,Basic/Secondary,-0.8048412577874374,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.022228767979372222,Yes,No,Yes,Male,No,-0.4303628237699172,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Dropout,0,1,0,0.0,0.0,0.0,0.0
Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,2.0768193183416446,Basic/Secondary,Higher Education,Professional/Managerial,Professional/Managerial,1.0719261394817379,Yes,No,No,Male,No,-0.562167955812708,No,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,Graduate,0,0,1,1.0,1.0,1.0,1.0
Single,General Contingent,2.4908958903736655,Social & Humanities,Daytime,Basic/Secondary,-0.8048412577874374,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.15041882601772735,Yes,No,No,Male,No,-0.562167955812708,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout,0,1,1,0.0,0.0,0.0,0.0
Single,General Contingent,0.2071731591606723,Social & Humanities,Daytime,Basic/Secondary,-0.8048412577874374,Basic/Secondary,Basic/Secondary,Clerical/Service,Professional/Managerial,-0.5095258215316947,Yes,No,Yes,Female,No,-0.4303628237699172,No,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,Graduate,0,1,0,1.0,0.8333333333333334,1.3333333333333333,1.6666666666666667
Not Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Evening,Basic/Secondary,-2.473171065020064,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,1.002867101882898,No,No,Yes,Female,No,2.8647654772998528,No,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,Graduate,1,1,0,0.8333333333333334,1.0,1.5,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.8410092020061256,No,Yes,Yes,Male,No,3.5237911375138067,No,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,Graduate,1,1,1,1.0,1.0,2.0,3.4
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.7118222033331321,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.09819370933809662,Yes,No,Yes,Female,Yes,-0.6939730878554988,No,0,7,9,7,13.3,0,0,8,8,8,14.345,0,Graduate,0,1,0,1.0,1.0,1.2857142857142858,1.0
Single,General Contingent,1.7296549799693344,"Business, Management & Hospitality",Daytime,Basic/Secondary,-1.0323407769555228,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.9584095659241536,Yes,No,No,Male,No,-0.16675255968433558,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Dropout,0,1,1,0.0,0.0,1.0,1.0
Single,General Contingent,0.9684140695650034,Social & Humanities,Daytime,Basic/Secondary,0.33265633805298966,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.16034684317705286,No,No,Yes,Female,Yes,-0.2985576917271264,Yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,Graduate,0,1,0,1.0,1.0,1.3333333333333333,1.1666666666666667
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.40848951110901816,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,-0.27472509369563886,Yes,Yes,No,Female,No,-0.6939730878554988,No,0,6,9,5,11.4,0,0,6,14,2,13.5,0,Dropout,0,1,1,0.8333333333333334,0.3333333333333333,1.5,2.3333333333333335
